highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
secondary,,,,"LINESTRING (-118.5396367 34.0488537, -118.5394307 34.0487968)",30,4,42366.0,0,0.0
secondary,,,,"LINESTRING (-118.5394307 34.0487968, -118.539267 34.048731)",30,4,42366.0,0,0.0
secondary,,,,"LINESTRING (-118.539267 34.048731, -118.5391961 34.0486922)",30,4,42366.0,0,0.0
secondary,,,,"LINESTRING (-118.5391961 34.0486922, -118.5389071 34.0485337)",30,4,42366.0,0,0.0
secondary,,,,"LINESTRING (-118.5389071 34.0485337, -118.5387097 34.0484697)",30,4,42366.0,0,0.0
secondary,,,,"LINESTRING (-118.5387097 34.0484697, -118.5385123 34.0484555)",30,4,39787.0,0,0.0
secondary,,,,"LINESTRING (-118.5385123 34.0484555, -118.5383234 34.0484697)",30,4,8027.0,0,17.98
residential,,,,"LINESTRING (-118.5395534 34.0491778, -118.5398773 34.0493355)",25,2,52860.0,0,88.36
residential,,,,"LINESTRING (-118.5382741 34.0449167, -118.5380488 34.0450703)",25,2,66919.0,0,94.01
residential,,,,"LINESTRING (-118.5380488 34.0450703, -118.5380745 34.0452907)",25,2,66919.0,0,94.01
residential,,,,"LINESTRING (-118.5380745 34.0452907, -118.5380402 34.0454614)",25,2,66919.0,0,94.01
residential,,,,"LINESTRING (-118.5380402 34.0454614, -118.5378428 34.0457103)",25,2,66919.0,0,94.01
residential,,,,"LINESTRING (-118.5378428 34.0457103, -118.5376454 34.0458881)",25,2,66919.0,0,94.01
residential,,,,"LINESTRING (-118.5376454 34.0458881, -118.5373536 34.0461441)",25,2,24519.0,0,94.01
residential,,,,"LINESTRING (-118.5373536 34.0461441, -118.5370961 34.0463291)",25,2,24519.0,0,94.01
residential,,,,"LINESTRING (-118.5370961 34.0463291, -118.5369416 34.0464215)",25,2,24519.0,0,94.01
residential,,,,"LINESTRING (-118.5398737 34.0461266, -118.5398147 34.0459088)",25,2,27470.0,0,40.83
residential,,,,"LINESTRING (-118.5398147 34.0459088, -118.5397745 34.0457577)",25,2,27470.0,0,40.83
