highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
cycleway,,,,"LINESTRING (-118.4816034 33.9958925, -118.4816036 33.9957938)",15,2,31011.0,0,93.02
cycleway,,,,"LINESTRING (-118.4816036 33.9957938, -118.4816728 33.9954809)",15,2,31011.0,2,93.02
cycleway,,,,"LINESTRING (-118.4762241 33.9895922, -118.4761596 33.9894162)",15,2,29834.0,0,93.02
cycleway,,,,"LINESTRING (-118.4761596 33.9894162, -118.4761002 33.9893542)",15,2,29834.0,0,93.02
cycleway,,,,"LINESTRING (-118.4761002 33.9893542, -118.4760035 33.9893047)",15,2,29834.0,0,93.02
cycleway,,,,"LINESTRING (-118.4752965 33.9883616, -118.4752267 33.9882785)",15,2,24640.0,0,78.89
cycleway,,,,"LINESTRING (-118.4752267 33.9882785, -118.4750625 33.9882079)",15,2,24640.0,0,78.89
footway,,,,"LINESTRING (-118.4768789 33.9905978, -118.4770339 33.9905067)",5,1,19808.0,1,56.14
service,,,,"LINESTRING (-118.4800957 33.9939115, -118.4806181 33.9945075)",30,1,343.0,0,60.18
path,designated,,,"LINESTRING (-118.4800189 33.9936609, -118.4800501 33.993813)",15,2,30131.0,0,19.0
path,designated,,,"LINESTRING (-118.4800501 33.993813, -118.4800152 33.9938486)",15,2,30131.0,0,19.0
path,designated,,,"LINESTRING (-118.4800152 33.9938486, -118.4798672 33.9939383)",15,2,30131.0,0,19.0
footway,,,,"LINESTRING (-118.4773065 33.9913682, -118.4770303 33.9915516)",5,1,68952.0,1,31.0
footway,,,,"LINESTRING (-118.4770303 33.9915516, -118.4761043 33.992164)",5,1,68952.0,0,31.0
service,,,,"LINESTRING (-118.4773298 33.9918873, -118.4761869 33.9926373)",30,2,44104.0,0,58.52
footway,,,,"LINESTRING (-118.4779006 33.9920284, -118.4776235 33.9922139)",5,1,27600.0,0,58.52
footway,,,,"LINESTRING (-118.4776235 33.9922139, -118.4764556 33.9929762)",5,1,27600.0,1,58.52
service,,,,"LINESTRING (-118.4779196 33.9925507, -118.4767331 33.9933262)",30,2,55555.0,0,32.0
residential,,,,"LINESTRING (-118.4814678 33.9963265, -118.4811895 33.996013)",25,2,31011.0,0,93.02
residential,,,,"LINESTRING (-118.4811895 33.996013, -118.4809321 33.995764)",25,2,52498.0,0,82.27
residential,,,,"LINESTRING (-118.4809321 33.995764, -118.4806645 33.9954656)",25,2,52498.0,0,82.27
residential,,,,"LINESTRING (-118.4806645 33.9954656, -118.480386 33.9951714)",25,2,54078.0,2,93.02
residential,,,,"LINESTRING (-118.480386 33.9951714, -118.4801059 33.9948763)",25,2,55556.0,0,23.0
residential,,,,"LINESTRING (-118.4801059 33.9948763, -118.479769 33.9945256)",25,2,343.0,1,60.18
residential,,,,"LINESTRING (-118.479769 33.9945256, -118.4794603 33.9942114)",25,2,24647.0,0,63.77
residential,,,,"LINESTRING (-118.4794603 33.9942114, -118.4791556 33.9938816)",25,2,24646.0,1,64.71
residential,,,,"LINESTRING (-118.4791556 33.9938816, -118.4788295 33.9935284)",25,2,24646.0,0,64.71
residential,,,,"LINESTRING (-118.4788295 33.9935284, -118.4785243 33.993203)",25,2,18971.0,0,55.75
residential,,,,"LINESTRING (-118.4785243 33.993203, -118.4782165 33.9928768)",25,2,69748.0,1,55.75
residential,,,,"LINESTRING (-118.4782165 33.9928768, -118.4779196 33.9925507)",25,2,55555.0,0,32.0
residential,,,,"LINESTRING (-118.4779196 33.9925507, -118.4776235 33.9922139)",25,2,55555.0,1,32.0
residential,,,,"LINESTRING (-118.4776235 33.9922139, -118.4773298 33.9918873)",25,2,44104.0,1,58.52
residential,,,,"LINESTRING (-118.4773298 33.9918873, -118.4770303 33.9915516)",25,2,44104.0,0,58.52
residential,,,,"LINESTRING (-118.4770303 33.9915516, -118.4767329 33.9912269)",25,2,44167.0,0,31.0
residential,,,,"LINESTRING (-118.4767329 33.9912269, -118.4764388 33.9908904)",25,2,44167.0,0,31.0
footway,,,,"LINESTRING (-118.4790825 33.993358, -118.4788295 33.9935284)",5,1,18971.0,0,55.75
footway,,,,"LINESTRING (-118.4788295 33.9935284, -118.477557 33.9943652)",5,1,18971.0,0,55.75
footway,,,,"LINESTRING (-118.477557 33.9943652, -118.4768363 33.9948319)",5,1,52438.0,0,13.61
footway,,,,"LINESTRING (-118.4786284 33.9926045, -118.4782165 33.9928768)",5,1,10028.0,0,32.0
footway,,,,"LINESTRING (-118.4782165 33.9928768, -118.4770062 33.9936706)",5,1,10028.0,0,32.0
service,,,,"LINESTRING (-118.4785243 33.993203, -118.4783335 33.9933359)",30,2,69748.0,0,55.75
service,,,,"LINESTRING (-118.4783335 33.9933359, -118.4772802 33.994016)",30,2,4214.0,1,13.61
residential,,,,"LINESTRING (-118.4762957 33.9944338, -118.4772126 33.9939309)",25,2,33242.0,0,13.61
