highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
secondary,,,,"LINESTRING (-118.3701293 33.9407006, -118.3701287 33.9403514)",35,3,70673.0,0,15.05
secondary,,,,"LINESTRING (-118.3699786 33.9410785, -118.3699816 33.9417897)",35,3,70673.0,0,15.05
tertiary,,,,"LINESTRING (-118.370131 33.9417829, -118.3703742 33.9417902)",30,4,19382.0,0,63.91
tertiary,,,,"LINESTRING (-118.3703742 33.9417902, -118.3704692 33.9417976)",30,4,19382.0,0,63.91
tertiary,,,,"LINESTRING (-118.3704692 33.9417976, -118.3705351 33.9418057)",30,4,19382.0,0,63.91
tertiary,,,,"LINESTRING (-118.3699816 33.9417897, -118.370131 33.9417829)",30,3,70673.0,1,15.05
tertiary,,,,"LINESTRING (-118.3691114 33.9417915, -118.3699816 33.9417897)",30,2,70673.0,0,15.05
secondary,,,,"LINESTRING (-118.3701306 33.9421702, -118.370131 33.9417829)",35,4,19382.0,0,63.91
residential,,,,"LINESTRING (-118.3708781 33.943634, -118.370866 33.942757)",25,2,31216.0,0,73.46
residential,,,,"LINESTRING (-118.370866 33.942757, -118.370838 33.9418715)",25,2,53364.0,0,85.56
residential,,,,"LINESTRING (-118.370838 33.9418715, -118.3708415 33.9412738)",25,2,53364.0,0,85.56
secondary,,,,"LINESTRING (-118.3701444 33.9429844, -118.3701306 33.9421702)",35,4,29173.0,0,58.88
secondary,,,,"LINESTRING (-118.3699816 33.9417897, -118.3699823 33.9429844)",35,4,70673.0,0,15.05
primary,,,,"LINESTRING (-118.3699823 33.9429844, -118.3699824 33.9431464)",35,5,29173.0,0,58.88
primary,,,,"LINESTRING (-118.3700563 33.9433153, -118.3701455 33.9431468)",35,5,29173.0,0,58.88
primary,,,,"LINESTRING (-118.3699824 33.9431464, -118.3700563 33.9433153)",35,5,29173.0,0,58.88
primary,,,,"LINESTRING (-118.3700563 33.9433153, -118.3700536 33.9442017)",35,6,29173.0,0,58.88
primary,,,,"LINESTRING (-118.3700536 33.9442017, -118.3700526 33.9444853)",35,5,29173.0,0,58.88
primary,,,,"LINESTRING (-118.3700526 33.9444853, -118.370055 33.9447632)",35,6,29173.0,0,58.88
primary,,,,"LINESTRING (-118.370055 33.9447632, -118.3700573 33.9448573)",35,6,29173.0,0,58.88
primary,,,,"LINESTRING (-118.3700573 33.9448573, -118.3700605 33.9449915)",35,6,59253.0,0,58.88
residential,,,,"LINESTRING (-118.3692029 33.9448608, -118.3700573 33.9448573)",25,2,59253.0,0,58.88
service,,,,"LINESTRING (-118.3700411 33.946435, -118.370386 33.9464354)",30,2,71638.0,0,10.05
primary,,,,"LINESTRING (-118.3700605 33.9449915, -118.3700668 33.9453321)",35,7,59253.0,0,58.88
primary,,,,"LINESTRING (-118.3700668 33.9453321, -118.3700436 33.9454548)",35,3,10847.0,3,57.24
primary,,,,"LINESTRING (-118.3692641 33.9454521, -118.3700436 33.9454548)",35,5,71639.0,0,10.05
primary,,,,"LINESTRING (-118.3700436 33.9454548, -118.3700307 33.9459343)",35,7,71639.0,0,10.05
primary,,,,"LINESTRING (-118.3700307 33.9459343, -118.3700406 33.9463458)",35,6,71639.0,0,10.05
primary,,,,"LINESTRING (-118.3700406 33.9463458, -118.3700411 33.946435)",35,6,71638.0,0,10.05
primary,,,,"LINESTRING (-118.3700411 33.946435, -118.3700422 33.9466363)",35,6,65948.0,0,76.68
service,,,,"LINESTRING (-118.3700406 33.9463458, -118.3693489 33.9463561)",30,2,71638.0,0,10.05
residential,,,,"LINESTRING (-118.3702488 33.9475723, -118.3707858 33.947581)",25,2,54248.0,0,54.89
primary,,,,"LINESTRING (-118.3700668 33.9453321, -118.3676377 33.9453435)",35,4,59253.0,0,58.88
residential,,,,"LINESTRING (-118.3702594 33.9483281, -118.3706495 33.9483322)",25,2,5724.0,0,57.48
residential,,,,"LINESTRING (-118.370257 33.9490815, -118.3706446 33.9490856)",25,2,40460.0,0,71.82
residential,,,,"LINESTRING (-118.3700713 33.9519968, -118.3702796 33.9519734)",25,2,59252.0,0,60.49
residential,,,,"LINESTRING (-118.3702796 33.9519734, -118.3702835 33.951647)",25,2,68644.0,0,64.67
residential,,,,"LINESTRING (-118.3702835 33.951647, -118.3702778 33.9509766)",25,2,1966.0,0,55.94
residential,,,,"LINESTRING (-118.3702778 33.9509766, -118.3702836 33.9503209)",25,2,54247.0,0,58.45
residential,,,,"LINESTRING (-118.3702836 33.9503209, -118.3702729 33.9496979)",25,2,45557.0,0,62.63
residential,,,,"LINESTRING (-118.3702729 33.9496979, -118.370257 33.9490815)",25,2,34648.0,0,67.9
